id,first_name,last_name,dob,citizenship,marital_status
0,Krystal,Fisher,2000-04-16,USA,married
1,Regina,Valdez,1963-09-25,QAT,single
2,Ronnie,Watson,1933-04-14,USA,divorced
3,Kelly,Clark,1939-04-05,USA,widowed
4,Tiffany,Hunt,1929-07-02,USA,widowed
5,Stephanie,Hood,1973-10-04,USA,widowed
6,Lynn,Wilson,1979-01-04,USA,single
7,Kayla,Salinas,1972-03-19,USA,single
8,Christopher,Page,1955-01-27,USA,widowed
9,William,Thomas,2001-08-07,USA,married
10,Jenna,Shaw,1933-01-20,USA,widowed
11,Lisa,Harris,1976-09-07,USA,married
12,Cheryl,Sherman,1928-05-02,USA,married
13,Shawn,Potter,2002-11-13,USA,married
14,Anthony,Smith,1993-02-28,USA,single
15,Diana,Duran,1937-12-10,USA,widowed
16,Javier,Hill,1989-05-10,USA,divorced
17,Gina,Nelson,1998-12-04,USA,single
18,Joshua,Norton,1992-12-23,USA,married
19,Dustin,Hernandez,2002-04-17,USA,widowed
20,Douglas,Gill,1926-08-03,USA,single
21,Jason,Smith,1924-12-05,USA,married
22,Jason,Haynes,2003-01-23,USA,married
23,Elizabeth,Owen,1930-04-11,USA,single
24,Crystal,Powell,1946-03-14,USA,widowed
25,Dawn,Henry,1992-01-01,USA,divorced
26,Nathaniel,Pearson,1979-04-22,USA,single
27,Eric,Jimenez,1987-02-05,USA,divorced
28,Andrew,Miller,1946-12-07,USA,single
29,Zachary,Hughes,1982-09-26,USA,divorced
30,Mark,Jackson,1952-11-29,USA,single
31,Joseph,Carney,1970-07-30,USA,married
32,Steven,Murray,1948-03-13,USA,widowed
33,Joel,Johnson,1944-04-03,USA,widowed
34,Valerie,Armstrong,1971-09-12,USA,single
35,Stacey,Ryan,1924-06-23,USA,widowed
36,Laura,Miles,1954-12-28,USA,married
37,Mark,Allen,1986-08-10,USA,married
38,Dana,Mcmahon,1979-05-02,USA,divorced
39,Jennifer,Gibson,1965-03-31,USA,married
40,Edward,Preston,2001-08-14,USA,single
41,Vincent,Hall,1933-11-22,USA,widowed
42,Autumn,Ramirez,1951-09-29,USA,widowed
43,Ashley,Jensen,1983-03-30,USA,married
44,Natasha,Young,1969-05-28,USA,single
45,Sally,Hinton,1927-10-27,USA,married
46,Mathew,Bradford,1934-12-17,USA,married
47,Whitney,Horne,1986-08-15,USA,widowed
48,Steven,Parker,1960-06-26,USA,married
49,Andrew,Bender,1940-06-09,USA,single
50,Stephanie,Castro,1983-05-25,USA,single
51,Katrina,Weaver,1975-10-20,USA,married
52,Jacob,Mcbride,1924-07-04,USA,single
53,Melissa,Ramos,1928-04-10,USA,widowed
54,Catherine,Lee,1977-09-06,USA,divorced
55,Scott,Wilson,1954-01-31,USA,married
56,Tammy,Hernandez,1927-12-21,USA,divorced
57,Riley,Mahoney,1941-02-24,USA,single
58,James,Rodriguez,1964-09-08,USA,married
59,David,Johnson,1997-12-08,USA,widowed
60,Alexander,Garcia,1998-11-04,USA,married
61,Patricia,Jackson,1935-06-21,USA,married
62,William,Taylor,1941-05-17,DMA,single
63,Jennifer,Stewart,1981-08-06,USA,widowed
64,Tammy,Singh,1929-01-21,USA,divorced
65,Joseph,Sanders,1959-07-30,USA,divorced
66,Jacqueline,Scott,1933-11-15,USA,single
67,Joseph,Lindsey,1989-01-23,USA,single
68,James,Nguyen,1947-10-02,USA,married
69,Tracy,James,1925-06-02,USA,widowed
70,Austin,Tate,1980-04-13,USA,widowed
71,Donna,Campbell,1994-01-19,USA,married
72,Paige,Young,1950-12-31,USA,single
73,Tara,Hill,1962-03-01,USA,divorced
74,Elaine,Johnson,1968-05-31,USA,divorced
75,Mary,Browning,1933-04-10,USA,divorced
76,Dylan,Griffin,1951-10-10,USA,single
77,Megan,Walton,1968-07-29,USA,single
78,Sean,Jones,1980-08-29,USA,single
79,Angela,Nelson,1967-08-14,USA,married
80,Michael,Potter,1964-01-21,USA,married
81,Sandra,Turner,1991-08-23,USA,widowed
82,Jerry,Hebert,1925-10-03,USA,widowed
83,Sabrina,Stone,1981-12-23,USA,married
84,Stacy,Lopez,1928-05-28,USA,widowed
85,Mark,York,2003-10-09,USA,married
86,Brian,Dominguez,1993-07-09,USA,married
87,Joseph,Pierce,1935-05-16,USA,divorced
88,Timothy,Sanford,1924-04-25,USA,married
89,Teresa,Smith,1956-01-11,USA,single
90,Melissa,Reyes,1939-06-04,USA,divorced
91,Charles,Sanford,1934-03-28,USA,widowed
92,Cassandra,Garner,1951-12-15,USA,married
93,Charles,Walker,1974-01-05,USA,widowed
94,Dana,Johnson,1961-03-19,USA,divorced
95,Adriana,Black,1988-09-20,USA,divorced
96,Angela,Cervantes,2003-10-18,USA,single
97,Deborah,Olson,1995-04-01,USA,widowed
98,Aaron,Holloway,1992-04-29,USA,married
99,Karen,Dickson,1939-11-07,USA,married
